,,,,,,0,1,2,3,4,5,6,7,8,9
0,394,,,,,394,397,473,370,381,355,498,556,417,378
0,403,,,,,403,475,361,415,394,431,419,421,349,405
0,378,,,,,378,493,319,388,399,386,417,375,318,362
0,365,,,,,365,584,326,364,388,438,416,366,353,373
0,374,,,,,374,478,363,353,366,483,410,374,366,376
0,380,,,,,380,433,372,366,354,579,406,383,400,400
0,404,,,,,404,606,410,397,364,513,407,408,392,419
0,418,,,,,418,647,386,400,394,406,486,416,387,411
0,407,,,,,407,523,378,375,403,579,411,407,364,412
0,415,,,,,415,465,362,366,378,664,404,414,353,403
0,400,,,,,400,388,354,374,0,533,391,398,367,417
1,397,,,,,0,477,376,356,0,491,456,0,398,0
1,475,,,,,0,507,402,0,0,388,499,0,400,0
1,493,,,,,0,503,392,0,0,454,582,0,0,0
1,584,,,,,0,0,369,0,0,514,0,0,0,0
1,478,,,,,,,,,,,,,,
1,433,,,,,,,,,,,,,,
1,606,,,,,,,,,,,,,,
1,647,,,,,,,,,,,,,,
1,523,,,,,,,,,,,,,,
1,465,,,,,,,,,,,,,,
1,388,,,,,,,,,,,,,,
1,477,,,,,,,,,,,,,,
1,507,,,,,,,,,,,,,,
1,503,,,,,,,,,,,,,,
2,473,,,,,,,,,,,,,,
2,361,,,,,,,,,,,,,,
2,319,,,,,,,,,,,,,,
2,326,,,,,,,,,,,,,,
2,363,,,,,,,,,,,,,,
2,372,,,,,,,,,,,,,,
2,410,,,,,,,,,,,,,,
2,386,,,,,,,,,,,,,,
2,378,,,,,,,,,,,,,,
2,362,,,,,,,,,,,,,,
2,354,,,,,,,,,,,,,,
2,376,,,,,,,,,,,,,,
2,402,,,,,,,,,,,,,,
2,392,,,,,,,,,,,,,,
2,369,,,,,,,,,,,,,,
3,370,,,,,,,,,,,,,,
3,415,,,,,,,,,,,,,,
3,388,,,,,,,,,,,,,,
3,364,,,,,,,,,,,,,,
3,353,,,,,,,,,,,,,,
3,366,,,,,,,,,,,,,,
3,397,,,,,,,,,,,,,,
3,400,,,,,,,,,,,,,,
3,375,,,,,,,,,,,,,,
3,366,,,,,,,,,,,,,,
3,374,,,,,,,,,,,,,,
4,356,,,,,,,,,,,,,,
4,381,,,,,,,,,,,,,,
4,394,,,,,,,,,,,,,,
4,399,,,,,,,,,,,,,,
4,388,,,,,,,,,,,,,,
4,366,,,,,,,,,,,,,,
4,354,,,,,,,,,,,,,,
4,364,,,,,,,,,,,,,,
4,394,,,,,,,,,,,,,,
4,403,,,,,,,,,,,,,,
4,378,,,,,,,,,,,,,,
5,355,,,,,,,,,,,,,,
5,431,,,,,,,,,,,,,,
5,386,,,,,,,,,,,,,,
5,438,,,,,,,,,,,,,,
5,483,,,,,,,,,,,,,,
5,579,,,,,,,,,,,,,,
5,513,,,,,,,,,,,,,,
5,406,,,,,,,,,,,,,,
5,579,,,,,,,,,,,,,,
5,664,,,,,,,,,,,,,,
5,533,,,,,,,,,,,,,,
5,491,,,,,,,,,,,,,,
5,388,,,,,,,,,,,,,,
5,454,,,,,,,,,,,,,,
5,514,,,,,,,,,,,,,,
6,498,,,,,,,,,,,,,,
6,419,,,,,,,,,,,,,,
6,417,,,,,,,,,,,,,,
6,416,,,,,,,,,,,,,,
6,410,,,,,,,,,,,,,,
6,406,,,,,,,,,,,,,,
6,407,,,,,,,,,,,,,,
6,486,,,,,,,,,,,,,,
6,411,,,,,,,,,,,,,,
6,404,,,,,,,,,,,,,,
6,391,,,,,,,,,,,,,,
6,456,,,,,,,,,,,,,,
6,499,,,,,,,,,,,,,,
6,582,,,,,,,,,,,,,,
7,556,,,,,,,,,,,,,,
7,421,,,,,,,,,,,,,,
7,375,,,,,,,,,,,,,,
7,366,,,,,,,,,,,,,,
7,374,,,,,,,,,,,,,,
7,383,,,,,,,,,,,,,,
7,408,,,,,,,,,,,,,,
7,416,,,,,,,,,,,,,,
7,407,,,,,,,,,,,,,,
7,414,,,,,,,,,,,,,,
7,398,,,,,,,,,,,,,,
8,417,,,,,,,,,,,,,,
8,349,,,,,,,,,,,,,,
8,318,,,,,,,,,,,,,,
8,353,,,,,,,,,,,,,,
8,366,,,,,,,,,,,,,,
8,400,,,,,,,,,,,,,,
8,392,,,,,,,,,,,,,,
8,387,,,,,,,,,,,,,,
8,364,,,,,,,,,,,,,,
8,353,,,,,,,,,,,,,,
8,367,,,,,,,,,,,,,,
8,398,,,,,,,,,,,,,,
8,400,,,,,,,,,,,,,,
9,378,,,,,,,,,,,,,,
9,405,,,,,,,,,,,,,,
9,362,,,,,,,,,,,,,,
9,373,,,,,,,,,,,,,,
9,376,,,,,,,,,,,,,,
9,400,,,,,,,,,,,,,,
9,419,,,,,,,,,,,,,,
9,411,,,,,,,,,,,,,,
9,412,,,,,,,,,,,,,,
9,403,,,,,,,,,,,,,,
9,417,,,,,,,,,,,,,,
